1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
44,private,170924,some-college,10,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,>50k
35,private,190174,some-college,10,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
25,private,193787,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k
24,private,279472,some-college,10,married-civ-spouse,machine-op-inspct,wife,white,female,7298,0,48,united-states,>50k
42,local-gov,97688,some-college,10,married-civ-spouse,craft-repair,husband,white,male,5178,0,40,united-states,>50k
34,private,175413,assoc-acdm,12,divorced,sales,unmarried,black,female,0,0,45,united-states,<=50k
60,private,173960,bachelors,13,divorced,prof-specialty,not-in-family,white,female,0,0,42,united-states,<=50k
21,private,205759,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
57,federal-gov,425161,masters,14,married-civ-spouse,sales,husband,white,male,15024,0,40,united-states,>50k
50,private,176609,some-college,10,divorced,other-service,not-in-family,white,male,0,0,45,united-states,<=50k
25,private,371987,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
36,private,200352,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,<=50k
31,private,127595,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
21,private,231931,some-college,10,never-married,sales,own-child,white,male,0,0,45,united-states,<=50k
27,private,248402,bachelors,13,never-married,tech-support,unmarried,black,female,0,0,40,united-states,<=50k
39,?,157443,masters,14,married-civ-spouse,?,wife,asian-pac-islander,female,3464,0,40,?,<=50k
24,private,278130,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
48,private,146268,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,7688,0,40,united-states,>50k
31,private,217460,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,45,united-states,>50k
55,private,238638,hs-grad,9,married-civ-spouse,sales,husband,white,male,4386,0,40,united-states,>50k
24,private,303296,some-college,10,married-civ-spouse,adm-clerical,wife,asian-pac-islander,female,0,0,40,laos,<=50k
43,private,173321,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
26,private,193945,assoc-acdm,12,never-married,tech-support,not-in-family,white,male,0,0,45,united-states,<=50k
46,private,83082,assoc-acdm,12,never-married,prof-specialty,not-in-family,white,female,0,0,33,united-states,<=50k
35,private,193815,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
26,private,59306,bachelors,13,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
34,private,142897,masters,14,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,7298,0,35,taiwan,>50k
36,self-emp-not-inc,205607,bachelors,13,divorced,prof-specialty,not-in-family,black,female,0,0,40,united-states,>50k
24,private,191954,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
77,self-emp-not-inc,138714,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,<=50k
29,private,423158,some-college,10,never-married,tech-support,not-in-family,white,female,0,0,40,united-states,<=50k
39,self-emp-not-inc,174308,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
43,private,50356,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,1485,50,united-states,<=50k
35,private,186110,hs-grad,9,divorced,transport-moving,not-in-family,white,male,0,0,45,united-states,<=50k
29,private,200381,11th,7,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
63,self-emp-not-inc,78383,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,45,united-states,<=50k
43,private,187728,some-college,10,married-civ-spouse,prof-specialty,wife,white,female,0,1887,50,united-states,>50k
58,self-emp-not-inc,321171,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
41,private,206565,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50k
26,private,224563,bachelors,13,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50k
47,private,178686,assoc-voc,11,never-married,other-service,not-in-family,white,male,0,0,40,united-states,<=50k
55,local-gov,98545,10th,6,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
53,private,242606,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k
30,private,94235,hs-grad,9,never-married,craft-repair,other-relative,white,male,0,0,40,united-states,<=50k
45,private,261192,hs-grad,9,married-civ-spouse,other-service,husband,black,male,0,0,40,united-states,<=50k
26,private,94936,assoc-acdm,12,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
38,private,296478,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,>50k
36,state-gov,119272,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,7298,0,40,united-states,>50k
22,state-gov,293364,some-college,10,never-married,protective-serv,own-child,black,female,0,0,40,united-states,<=50k
43,self-emp-not-inc,241895,bachelors,13,never-married,sales,not-in-family,white,male,0,0,42,united-states,<=50k
30,?,151989,assoc-voc,11,divorced,?,unmarried,white,female,0,0,40,united-states,<=50k
33,private,117963,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
26,private,192262,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
33,private,111363,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
59,?,372020,bachelors,13,married-civ-spouse,?,husband,white,male,0,0,40,united-states,>50k
38,federal-gov,95432,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
65,private,161400,11th,7,widowed,other-service,unmarried,other,male,0,0,40,united-states,<=50k
40,private,96129,assoc-voc,11,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
42,private,111949,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50k
26,self-emp-not-inc,117125,9th,5,married-civ-spouse,craft-repair,husband,white,male,0,0,40,portugal,<=50k
62,private,270092,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
43,private,180609,bachelors,13,married-civ-spouse,transport-moving,husband,white,male,0,0,45,united-states,<=50k
43,private,174575,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,1564,45,united-states,>50k
28,private,92262,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
56,self-emp-not-inc,183081,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,45,united-states,<=50k
57,private,212448,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,45,united-states,>50k
39,private,481060,hs-grad,9,divorced,sales,unmarried,white,female,0,0,40,united-states,<=50k
40,state-gov,184018,assoc-voc,11,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,>50k
45,private,256649,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,black,male,0,0,40,united-states,<=50k
44,private,160323,hs-grad,9,never-married,craft-repair,not-in-family,black,male,0,0,40,united-states,<=50k
33,private,267404,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,<=50k
23,private,35633,some-college,10,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
38,private,172927,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
54,private,174319,hs-grad,9,divorced,transport-moving,not-in-family,white,male,0,0,40,united-states,<=50k
25,private,344991,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
46,private,108699,some-college,10,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50k
